2026-07-28 16:18:52 | INFO     | data_quality_checks | Running data quality checks...
2026-07-28 16:18:52 | INFO     | data_quality_checks | [PASS] Row count match (source vs fact) — source=103024, fact=103024
2026-07-28 16:18:53 | INFO     | data_quality_checks | [PASS] No duplicate booking_id in fact table — duplicates=0
2026-07-28 16:18:53 | ERROR    | data_quality_checks | [FAIL] No unexpected NULL foreign keys — {'null_date': 0, 'null_vehicle': 0, 'null_payment': 39057, 'null_status': 0, 'null_pickup': 0, 'null_drop': 0}
2026-07-28 16:18:53 | INFO     | data_quality_checks | [PASS] No orphaned foreign keys — {'date': 0, 'vehicle_type': 0, 'payment_method': 0}
2026-07-28 16:19:39 | INFO     | data_quality_checks | Running data quality checks...
2026-07-28 16:19:39 | INFO     | data_quality_checks | [PASS] Row count match (source vs fact) — source=103024, fact=103024
2026-07-28 16:19:39 | INFO     | data_quality_checks | [PASS] No duplicate booking_id in fact table — duplicates=0
2026-07-28 16:19:39 | ERROR    | data_quality_checks | [FAIL] No unexpected NULL foreign keys — {'null_date': 0, 'null_vehicle': 0, 'null_payment': 39057, 'null_status': 0, 'null_pickup': 0, 'null_drop': 0}
2026-07-28 16:19:39 | INFO     | data_quality_checks | [PASS] No orphaned foreign keys — {'date': 0, 'vehicle_type': 0, 'payment_method': 0}
2026-07-28 16:19:59 | INFO     | data_quality_checks | Running data quality checks...
2026-07-28 16:19:59 | INFO     | data_quality_checks | [PASS] Row count match (source vs fact) — source=103024, fact=103024
2026-07-28 16:19:59 | INFO     | data_quality_checks | [PASS] No duplicate booking_id in fact table — duplicates=0
2026-07-28 16:19:59 | ERROR    | data_quality_checks | [FAIL] No unexpected NULL foreign keys — {'null_date': 0, 'null_vehicle': 0, 'null_payment': 39057, 'null_status': 0, 'null_pickup': 0, 'null_drop': 0}
2026-07-28 16:19:59 | INFO     | data_quality_checks | [PASS] No orphaned foreign keys — {'date': 0, 'vehicle_type': 0, 'payment_method': 0}
2026-07-28 16:32:02 | INFO     | data_quality_checks | Running data quality checks...
2026-07-28 16:32:02 | INFO     | data_quality_checks | [PASS] Row count match (source vs fact) — source=103024, fact=103024
2026-07-28 16:32:02 | INFO     | data_quality_checks | [PASS] No duplicate booking_id in fact table — duplicates=0
2026-07-28 16:32:03 | ERROR    | data_quality_checks | [FAIL] No unexpected NULL foreign keys — {'null_date': 0, 'null_vehicle': 0, 'null_payment': 39057, 'null_status': 0, 'null_pickup': 0, 'null_drop': 0}
